KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release Notes,https://altair-viz.github.io/
note,Release Notes,https://altair-viz.github.io/
note,Release Notes,https://altair-viz.github.io/altair-viz-v4/
note,Release Notes,https://altair-viz.github.io/altair-viz-v4/
note,Release Notes,https://altair-viz.github.io/getting_started/overview.html
note,Release Notes,https://altair-viz.github.io/getting_started/overview.html
note,Release Notes,https://altair-viz.github.io/user_guide/data.html
note,Release Notes,https://altair-viz.github.io/user_guide/data.html
must,"Notice the extra markup required in the encoding; because Altair cannot infer
the types within a Data object, we must specify them manually
(here we use Encoding Shorthands to specify nominal (N) for x
and quantitative (Q) for y; see Encoding Data Types).",https://altair-viz.github.io/user_guide/data.html
must,"Similarly, we must also specify the data type when referencing data by URL:",https://altair-viz.github.io/user_guide/data.html
only,"By design Altair only accesses dataframe columns, not dataframe indices.",https://altair-viz.github.io/user_guide/data.html
must,"Notice that unlike the pandas melt function we must explicitly specify the columns
to be folded.",https://altair-viz.github.io/user_guide/data.html
only,"Each shared arc is
only stored once to reduce the size of the data.",https://altair-viz.github.io/user_guide/data.html
note,"Note: There also exist a shorthand to extract the objects from a
topojson file if this file is accessible by URL:
alt.",https://altair-viz.github.io/user_guide/data.html
only,"Here below we draw the same Boroughs of London, but now as mesh only.",https://altair-viz.github.io/user_guide/data.html
note,"Note: you have to explicitly define filled=False to draw multi(lines)
without fill color.",https://altair-viz.github.io/user_guide/data.html
should,"Meaning that the exterior rings should be counterclockwise and interior
rings are clockwise.",https://altair-viz.github.io/user_guide/data.html
should,"Meaning that exterior rings should be clockwise and interior rings should be
counterclockwise.",https://altair-viz.github.io/user_guide/data.html
note,Release Notes,https://altair-viz.github.io/gallery/index.html
note,Release Notes,https://altair-viz.github.io/gallery/index.html
note,Release Notes,https://altair-viz.github.io/user_guide/api.html
note,Release Notes,https://altair-viz.github.io/user_guide/api.html
only,OrderOnlyDef,https://altair-viz.github.io/user_guide/api.html
only,OrderOnlyDef schema wrapper,https://altair-viz.github.io/user_guide/api.html
only,WindowOnlyOp,https://altair-viz.github.io/user_guide/api.html
only,WindowOnlyOp schema wrapper,https://altair-viz.github.io/user_guide/api.html
note,Release Notes,https://altair-viz.github.io/releases/changes.html
note,Release Notes,https://altair-viz.github.io/releases/changes.html
note,Release Notes,https://altair-viz.github.io/releases/changes.html
note,Release Notes#,https://altair-viz.github.io/releases/changes.html
note,"3;
see Vega-Lite Release Notes.",https://altair-viz.github.io/releases/changes.html
note,"3;
see Vega-Lite Release Notes.",https://altair-viz.github.io/releases/changes.html
note,1 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,1 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,1 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,1 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,As described in the release notes for Vega-Lite 5.,https://altair-viz.github.io/releases/changes.html
note,As described in the release notes for Vega-Lite 5.,https://altair-viz.github.io/releases/changes.html
not support,"Currently, altair_saver does not support Altair 5 and it is recommended to switch to vl-convert.",https://altair-viz.github.io/releases/changes.html
not support,"Currently, altair_saver does not support Altair 5 and it is recommended to switch to vl-convert.",https://altair-viz.github.io/releases/changes.html
should,"Similarly, type=point should be used instead of type=single and type=multi.",https://altair-viz.github.io/releases/changes.html
should,"Similarly, type=point should be used instead of type=single and type=multi.",https://altair-viz.github.io/releases/changes.html
must,The selection keyword argument must in many cases be replaced by param (e.,https://altair-viz.github.io/releases/changes.html
must,The selection keyword argument must in many cases be replaced by param (e.,https://altair-viz.github.io/releases/changes.html
should,"The empty keyword argument for a selection parameter should be specified as True or False instead of all or none, respectively.",https://altair-viz.github.io/releases/changes.html
should,"The empty keyword argument for a selection parameter should be specified as True or False instead of all or none, respectively.",https://altair-viz.github.io/releases/changes.html
must,Colons in column names must now be escaped to remove any ambiguity with encoding types.,https://altair-viz.github.io/releases/changes.html
must,Colons in column names must now be escaped to remove any ambiguity with encoding types.,https://altair-viz.github.io/releases/changes.html
warning,Add deprecation and removal warnings for Vega-Lite v3 wrappers and Vega v5 wrappers (#2843).,https://altair-viz.github.io/releases/changes.html
warning,Add deprecation and removal warnings for Vega-Lite v3 wrappers and Vega v5 wrappers (#2843).,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,0 Release Notes.,https://altair-viz.github.io/releases/changes.html
note,"New default html renderer, directly compatible with Jupyter Notebook and
JupyterLab without the need for frontend extensions, as well as tools like
nbviewer and nbconvert, and related notebook environments such as Zeppelin,
Colab, Kaggle Kernels, and DataBricks.",https://altair-viz.github.io/releases/changes.html
note,"New default html renderer, directly compatible with Jupyter Notebook and
JupyterLab without the need for frontend extensions, as well as tools like
nbviewer and nbconvert, and related notebook environments such as Zeppelin,
Colab, Kaggle Kernels, and DataBricks.",https://altair-viz.github.io/releases/changes.html
note,"4 Release
Notes).",https://altair-viz.github.io/releases/changes.html
warning,"Improved user-facing warnings/errors around layering and faceting
(#1535).",https://altair-viz.github.io/releases/changes.html
warning,"Improved user-facing warnings/errors around layering and faceting
(#1535).",https://altair-viz.github.io/releases/changes.html
only,Only API change is internal: alt.,https://altair-viz.github.io/releases/changes.html
only,Only API change is internal: alt.,https://altair-viz.github.io/releases/changes.html
note,"Moved the example notebooks into a separate repository
(https://github.",https://altair-viz.github.io/releases/changes.html
note,"com/altair-viz/altair_notebooks) that has Binder
support (#391).",https://altair-viz.github.io/releases/changes.html
note,"Moved the example notebooks into a separate repository
(https://github.",https://altair-viz.github.io/releases/changes.html
note,"com/altair-viz/altair_notebooks) that has Binder
support (#391).",https://altair-viz.github.io/releases/changes.html
note,Release Notes,https://altair-viz.github.io/about/roadmap.html
note,Release Notes,https://altair-viz.github.io/about/roadmap.html
should,"It should
work well with popular libraries and ecosystem standards.",https://altair-viz.github.io/about/roadmap.html
note,Release Notes,https://altair-viz.github.io/about/roadmap.html
note,Release Notes,https://altair-viz.github.io/gallery/one_dot_per_zipcode.html
note,Release Notes,https://altair-viz.github.io/gallery/one_dot_per_zipcode.html
note,Release Notes,https://altair-viz.github.io/gallery/horizon_graph.html
note,Release Notes,https://altair-viz.github.io/gallery/horizon_graph.html
note,Release Notes,https://altair-viz.github.io/gallery/world_projections.html
note,Release Notes,https://altair-viz.github.io/gallery/world_projections.html
note,Release Notes,https://altair-viz.github.io/gallery/candlestick_chart.html
note,Release Notes,https://altair-viz.github.io/gallery/candlestick_chart.html
note,Release Notes,https://altair-viz.github.io/gallery/falkensee.html
note,Release Notes,https://altair-viz.github.io/gallery/falkensee.html
note,Release Notes,https://altair-viz.github.io/gallery/errorbars_with_ci.html
