KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release notes,https://docs.scipy.org/doc/scipy/
note,Release notes,https://docs.scipy.org/doc/scipy/tutorial/index.html
note,"These can be opened as Jupyter Notebooks with the help of the
Jupytext extension.",https://docs.scipy.org/doc/scipy/tutorial/index.html
note,Release notes,https://docs.scipy.org/doc/scipy/reference/index.html
warning,"Occasionally this may be convenient, but be aware that if you do so
your code may break without warning in future releases.",https://docs.scipy.org/doc/scipy/reference/index.html
note,Note,https://docs.scipy.org/doc/scipy/reference/index.html
should,"In SciPy there are modules whose names don’t start with an underscore, but that
should be considered private.",https://docs.scipy.org/doc/scipy/reference/index.html
note,Note,https://docs.scipy.org/doc/scipy/reference/index.html
note,Note,https://docs.scipy.org/doc/scipy/reference/index.html
only,"SciPy is using a lazy loading mechanism which means that modules
are only loaded in memory when you first try to access them.",https://docs.scipy.org/doc/scipy/reference/index.html
note,Note,https://docs.scipy.org/doc/scipy/reference/index.html
should,"These functions still exist for backwards compatibility, but should be
imported from numpy directly.",https://docs.scipy.org/doc/scipy/reference/index.html
warning,"That means that these submodules are
unlikely to be renamed or changed in an incompatible way, and if that is
necessary, a deprecation warning will be raised for one SciPy release before the
change is made.",https://docs.scipy.org/doc/scipy/reference/index.html
should,All SciPy modules should follow the following conventions.,https://docs.scipy.org/doc/scipy/reference/index.html
should,"Ideally, each SciPy module should be as self-contained as possible.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"That is, it should have minimal dependencies on other packages or
modules.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Even dependencies on other SciPy modules should be kept to
a minimum.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Ideally, each SciPy module should be as self-contained as possible.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"That is, it should have minimal dependencies on other packages or
modules.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Even dependencies on other SciPy modules should be kept to
a minimum.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Private modules should be prefixed with an underscore _,
for instance yyy/_somemodule.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Private modules should be prefixed with an underscore _,
for instance yyy/_somemodule.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"User-visible functions should have good documentation following
the NumPy documentation style.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"User-visible functions should have good documentation following
the NumPy documentation style.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"py of the module should contain the main reference
documentation in its docstring.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"The reference documentation should first give a categorized list of
the contents of the module using autosummary:: directives, and
after that explain points essential for understanding the use of the
module.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Tutorial-style documentation with extensive examples should be
separate and put under doc/source/tutorial/.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"py of the module should contain the main reference
documentation in its docstring.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"The reference documentation should first give a categorized list of
the contents of the module using autosummary:: directives, and
after that explain points essential for understanding the use of the
module.",https://docs.scipy.org/doc/scipy/reference/index.html
should,"Tutorial-style documentation with extensive examples should be
separate and put under doc/source/tutorial/.",https://docs.scipy.org/doc/scipy/reference/index.html
note,Release notes,https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
only,"If you are only trying to install SciPy, we recommend using binaries - see
Installation for details on that.",https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
not support,"0, we do not support compiling against the system
Accelerate library for BLAS and LAPACK.",https://docs.scipy.org/doc/scipy/building/index.html
not support,"It does not support a sufficiently
recent LAPACK interface.",https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
should,Compilers should be on the system path (i.,https://docs.scipy.org/doc/scipy/building/index.html
only,", the PATH environment
variable should contain the directory in which the compiler executables
can be found) in order to be found, with the exception of MSVC which
will be found automatically if and only if there are no other compilers
on the PATH.",https://docs.scipy.org/doc/scipy/building/index.html
should,", the PATH environment
variable should contain the directory in which the compiler executables
can be found) in order to be found, with the exception of MSVC which
will be found automatically if and only if there are no other compilers
on the PATH.",https://docs.scipy.org/doc/scipy/building/index.html
warning,Warning,https://docs.scipy.org/doc/scipy/building/index.html
should,"The Fortran compiler should be installed as described in
this section.",https://docs.scipy.org/doc/scipy/building/index.html
only,"If you want to only install SciPy from source once and not do any development
work, then the recommended way to build and install is to use pip.",https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
note,Note,https://docs.scipy.org/doc/scipy/building/index.html
note,"Create and activate a virtual environment in a new directory named venv (
note that the exact activation command may be different based on your OS and shell
- see “How venvs work”
in the venv docs).",https://docs.scipy.org/doc/scipy/building/index.html
note,Release notes,https://docs.scipy.org/doc/scipy/dev/index.html
