KEYWORD,MATCHING SENTENCE,PAGE URL
should,"For most people and most use cases, this is what you should be using.",https://keras.io/api/models/
only,Weights-only saving & loading,https://keras.io/api/models/
note,Note that you may use any loss function as a metric.,https://keras.io/api/metrics/
note,Note that the best way to monitor your metrics during training is via TensorBoard.,https://keras.io/api/metrics/
note,Note that sample weighting is automatically supported for any such metric.,https://keras.io/api/metrics/
should,"The purpose of loss functions is to compute the quantity that a model should seek
to minimize during training.",https://keras.io/api/losses/
note,Note that all losses are available both via a class handle and via a function handle.,https://keras.io/api/losses/
should,"For
    sparse loss functions, such as sparse categorical crossentropy, the shape
    should be (batch_size, d0, .",https://keras.io/api/losses/
note,"(Note ondN-1: all loss
    functions reduce by 1 dimension, usually axis=-1.",https://keras.io/api/losses/
note,Note that this is an important difference between loss functions like keras.,https://keras.io/api/losses/
note,Note that sample weighting is automatically supported for any such loss.,https://keras.io/api/losses/
only,"Loss functions applied to the output of a model aren't the only way to
create losses.",https://keras.io/api/losses/
only,losses always contain only the losses created during the last forward pass.,https://keras.io/api/losses/
should,"When writing a custom training loop, you should retrieve these terms
by hand from model.",https://keras.io/api/losses/
should,"Therefore, these lower-precision dtypes should be used whenever possible on those devices.",https://keras.io/api/mixed_precision/
should,"However, variables storage (as well as certain sensitive computations) should still be in float32
to preserve numerical stability.",https://keras.io/api/mixed_precision/
only,"While mixed precision will run on most hardware, it will only speed up models on recent NVIDIA GPUs and Google TPUs.",https://keras.io/api/mixed_precision/
note,"Note: Only dicts, lists, and tuples of input tensors are supported.",https://keras.io/api/models/model
only,"Note: Only dicts, lists, and tuples of input tensors are supported.",https://keras.io/api/models/model
not support,"Nested
inputs are not supported (e.",https://keras.io/api/models/model
note,"Note that the backbone and activations models are not
created with keras.",https://keras.io/api/models/model
should,"In that case, you should define your
layers in __init__() and you should implement the model's forward pass
in call().",https://keras.io/api/models/model
should,"y_true should have shape (batch_size, d0, .",https://keras.io/api/models/model_training_apis
should,"y_pred should have shape (batch_size, d0, .",https://keras.io/api/models/model_training_apis
should,The loss function should return a float tensor.,https://keras.io/api/models/model_training_apis
note,"Note that if steps_per_execution is set to N,
  Callback.",https://keras.io/api/models/model_training_apis
only,"on_batch_end methods
  will only be called every N batches (i.",https://keras.io/api/models/model_training_apis
not support,Not supported with the PyTorch backend.,https://keras.io/api/models/model_training_apis
should,"Should return a tuple
of either (inputs, targets) or
(inputs, targets, sample_weights).",https://keras.io/api/models/model_training_apis
should,"Should return a tuple
of either (inputs, targets) or
(inputs, targets, sample_weights).",https://keras.io/api/models/model_training_apis
should,"PyDataset instance, y should
  not be specified (since targets will be obtained from x).",https://keras.io/api/models/model_training_apis
note,"Note that in conjunction with initial_epoch,
  epochs is to be understood as ""final epoch"".",https://keras.io/api/models/model_training_apis
note,"Note that the progress bar is not
  particularly useful when logged to a file,
  so verbose=2 is recommended when not running interactively
  (e.",https://keras.io/api/models/model_training_apis
note,"Note
  keras.",https://keras.io/api/models/model_training_apis
not support,"This
  argument is not supported when x is a dataset, generator or
  keras.",https://keras.io/api/models/model_training_apis
note,"Thus, note the fact
  that the validation loss of data provided using
  validation_split or validation_data is not affected by
  regularization layers like noise and dropout.",https://keras.io/api/models/model_training_apis
only,"class_weight: Optional dictionary mapping class indices (integers)
  to a weight (float) value, used for weighting the loss function
  (during training only).",https://keras.io/api/models/model_training_apis
must,"When class_weight is specified
  and targets have a rank of 2 or greater, either y must be
  one-hot encoded, or an explicit final dimension of 1 must
  be included for sparse class labels.",https://keras.io/api/models/model_training_apis
only,"sample_weight: Optional NumPy array of weights for
  the training samples, used for weighting the loss function
  (during training only).",https://keras.io/api/models/model_training_apis
not support,"This argument is not supported when x is a dataset, generator,
  or keras.",https://keras.io/api/models/model_training_apis
note,"Note that sample weighting does not apply to metrics specified
  via the metrics argument in compile().",https://keras.io/api/models/model_training_apis
must,"When passing an infinitely repeating dataset, you
  must specify the steps_per_epoch argument.",https://keras.io/api/models/model_training_apis
only,validation_steps: Only relevant if validation_data is provided.,https://keras.io/api/models/model_training_apis
only,"If validation_steps is
  specified and only part of the dataset will be consumed, the
  evaluation will start from the beginning of the dataset at each
  epoch.",https://keras.io/api/models/model_training_apis
only,validation_freq: Only relevant if validation data is provided.,https://keras.io/api/models/model_training_apis
only,"PyDataset to fit(),
    which will in fact yield not only features (x)
    but optionally targets (y) and sample weights (sample_weight).",https://keras.io/api/models/model_training_apis
should,"The iterator should return a tuple
    of length 1, 2, or 3, where the optional second and third elements
    will be used for y and sample_weight respectively.",https://keras.io/api/models/model_training_apis
should,"When
    yielding dicts, they should still adhere to the top-level tuple
    structure,
    e.",https://keras.io/api/models/model_training_apis
should,"Should return a tuple
    of either (inputs, targets) or
    (inputs, targets, sample_weights).",https://keras.io/api/models/model_training_apis
should,"Should return a tuple
    of either (inputs, targets) or
    (inputs, targets, sample_weights).",https://keras.io/api/models/model_training_apis
should,"PyDataset
  instance, y should not be specified
  (since targets will be obtained from the iterator/dataset).",https://keras.io/api/models/model_training_apis
note,"Note that the progress bar is not
  particularly useful when logged to a file, so verbose=2 is
  recommended when not running interactively
  (e.",https://keras.io/api/models/model_training_apis
not support,"This argument is not supported when
  x is a dataset, instead pass sample weights as the third
  element of x.",https://keras.io/api/models/model_training_apis
note,"Note: See this FAQ entry
for more details about the difference between Model methods
predict() and __call__().",https://keras.io/api/models/model_training_apis
note,"Note that the progress bar
  is not particularly useful when logged to a file,
  so verbose=2 is recommended when not running interactively
  (e.",https://keras.io/api/models/model_training_apis
must,Must be array-like.,https://keras.io/api/models/model_training_apis
must,Must be array-like.,https://keras.io/api/models/model_training_apis
must,"When class_weight is specified
  and targets have a rank of 2 or greater, either y must
  be one-hot encoded, or an explicit final dimension of 1
  must be included for sparse class labels.",https://keras.io/api/models/model_training_apis
must,Must be array-like.,https://keras.io/api/models/model_training_apis
must,Must be array-like.,https://keras.io/api/models/model_training_apis
must,It must be array-like.,https://keras.io/api/models/model_training_apis
only,Weights-only saving & loading,https://keras.io/api/models/model_saving_apis/
should,"Nested layers should be instantiated in the
__init__() method or build() method.",https://keras.io/api/layers/base_layer
should,"trainable: Boolean, whether the layer's variables should be trainable.",https://keras.io/api/layers/base_layer
should,"non_trainable_weights: List of variables that should not be
  included in backprop.",https://keras.io/api/layers/base_layer
should,"trainable: Whether the layer should be trained (boolean), i.",https://keras.io/api/layers/base_layer
should,"whether its potentially-trainable weights should be returned
  as part of layer.",https://keras.io/api/layers/base_layer
should,"These are the weights that should not be updated by the optimizer during
training.",https://keras.io/api/layers/base_layer
must,Must be fully-defined (no None entries).,https://keras.io/api/layers/base_layer
should,"trainable: Boolean, whether the variable should
  be trainable via backprop or whether its
  updates are managed manually.",https://keras.io/api/layers/base_layer
should,"Settable boolean, whether this layer should be trainable or not.",https://keras.io/api/layers/base_layer
note,Notes:,https://keras.io/api/layers/activations
should,"You can also use a callable as an activation
(in this case it should take a tensor and return a tensor of the same shape and dtype):",https://keras.io/api/layers/activations
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
only,Only scalar values are allowed.,https://keras.io/api/layers/initializers
must,"The constant value provided must be convertible to the dtype requested
when calling the initializer.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
note,"Note that an initializer seeded with an integer
  or None (unseeded) will produce the same random values
  across multiple calls.",https://keras.io/api/layers/initializers
only,Only usable for generating 2D matrices.,https://keras.io/api/layers/initializers
should,"stddev argument in RandomNormal),
you should implement it as a subclass of keras.",https://keras.io/api/layers/initializers
should,"Initializers should implement a __call__ method with the following
signature:",https://keras.io/api/layers/initializers
note,"Note that we don't have to implement from_config in the example above since
the constructor arguments of the class the keys in the config returned by
get_config are the same.",https://keras.io/api/layers/initializers
note,A note on serialization and deserialization:,https://keras.io/api/layers/regularizers
must,"If using this
functionality, you must make sure any python process running your model has
also defined and registered your custom regularizer.",https://keras.io/api/layers/regularizers
should,"l1 and l2 arguments in l1_l2),
you should implement it as a subclass of keras.",https://keras.io/api/layers/regularizers
should,"Users who subclass this
class should override the __call__() method, which takes a single
weight parameter and return a projected version of that parameter
(e.",https://keras.io/api/layers/constraints
note,"Note that we don't have to implement from_config
in the example above since the constructor arguments of the class
the keys in the config returned by get_config are the same.",https://keras.io/api/layers/constraints
should,You should pack all your callbacks into a single callbacks.,https://keras.io/api/callbacks/base_callback
only,"Whether to only keep the model that has achieved the ""best performance"" so
  far, or whether to save the model at the end of every epoch regardless of
  performance.",https://keras.io/api/callbacks/model_checkpoint
should,"Definition of ""best""; which quantity to monitor and whether it should be
  maximized or minimized.",https://keras.io/api/callbacks/model_checkpoint
should,The frequency it should save at.,https://keras.io/api/callbacks/model_checkpoint
only,"Whether only weights are saved, or the whole model is saved.",https://keras.io/api/callbacks/model_checkpoint
only,"h5"" when
  save_weights_only=True or should end with "".",https://keras.io/api/callbacks/model_checkpoint
should,"h5"" when
  save_weights_only=True or should end with "".",https://keras.io/api/callbacks/model_checkpoint
should,"The directory of the filepath
  should not be reused by any other callbacks to avoid conflicts.",https://keras.io/api/callbacks/model_checkpoint
note,"Note:
Prefix the name with ""val_"" to monitor validation metrics.",https://keras.io/api/callbacks/model_checkpoint
should,"Metric objects, monitor should be set to
    metric.",https://keras.io/api/callbacks/model_checkpoint
should,"Metric objects, monitor should be set to
    metric.",https://keras.io/api/callbacks/model_checkpoint
only,"save_best_only: if save_best_only=True, it only saves when the model
  is considered the ""best"" and the latest best model according to the
  quantity monitored will not be overwritten.",https://keras.io/api/callbacks/model_checkpoint
only,"If save_best_only=True, the
  decision to overwrite the current save file is made based on either
  the maximization or the minimization of the monitored quantity.",https://keras.io/api/callbacks/model_checkpoint
should,"For val_acc, this should be ""max"", for val_loss this should be
  ""min"", etc.",https://keras.io/api/callbacks/model_checkpoint
only,"save_weights_only: if True, then only the model's weights will be
  saved (model.",https://keras.io/api/callbacks/model_checkpoint
note,"Note that if the saving isn't aligned to
  epochs, the monitored metric may potentially be less reliable (it
  could reflect as little as 1 batch, since the metrics get reset
  every epoch).",https://keras.io/api/callbacks/model_checkpoint
only,Only applies if save_best_value=True.,https://keras.io/api/callbacks/model_checkpoint
only,"Only
  overwrites the model weights already saved if the performance of
  current model is better than this value.",https://keras.io/api/callbacks/model_checkpoint
note,Note that the user is responsible to bring jobs back after the interruption.,https://keras.io/api/callbacks/backup_and_restore
only,"Set save_freq=False only if using
  preemption checkpointing (i.",https://keras.io/api/callbacks/backup_and_restore
should,"If you have installed TensorFlow with pip, you should be able
to launch TensorBoard from the command line:",https://keras.io/api/callbacks/tensorboard
should,This directory should not be reused by any other callbacks.,https://keras.io/api/callbacks/tensorboard
must,"Validation data (or split) must be
  specified for histogram visualizations.",https://keras.io/api/callbacks/tensorboard
