KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release notes,https://numpy.org/doc/stable/
note,Release notes,https://numpy.org/doc/stable/user/index.html
note,Release notes,https://numpy.org/doc/stable/user/index.html
note,Release notes,https://numpy.org/doc/stable/reference/index.html
note,Release notes,https://numpy.org/doc/stable/dev/index.html
warning,"Development process - summary
  
  
   
    
     Divergence between
     
      
       upstream/main
      
     
     and your feature branch
    
   
   
    
     Guidelines
    
   
   
    
     Stylistic Guidelines
    
   
   
    
     Test coverage
    
   
   
    
     Building docs
    
    
     
      
       Fixing Warnings",https://numpy.org/doc/stable/dev/index.html
warning,"Building docs
    
    
     
      
       Fixing Warnings",https://numpy.org/doc/stable/dev/index.html
warning,Fixing Warnings,https://numpy.org/doc/stable/dev/index.html
only,"Therefore, please don’t let the review
discourage you from contributing: its only aim is to improve the quality
of project, not to criticize (we are, after all, very grateful for the
time you’re donating!",https://numpy.org/doc/stable/dev/index.html
only,"To update your PR, make your changes on your local repository, commit,
run tests, and only if they succeed push to your fork.",https://numpy.org/doc/stable/dev/index.html
must,"The CI tests must pass before your PR can be
merged.",https://numpy.org/doc/stable/dev/index.html
must,A PR must be approved by at least one core team member before merging.,https://numpy.org/doc/stable/dev/index.html
only,"Therefore, please don’t let the review
discourage you from contributing: its only aim is to improve the quality
of project, not to criticize (we are, after all, very grateful for the
time you’re donating!",https://numpy.org/doc/stable/dev/index.html
only,"Therefore, please don’t let the review
discourage you from contributing: its only aim is to improve the quality
of project, not to criticize (we are, after all, very grateful for the
time you’re donating!",https://numpy.org/doc/stable/dev/index.html
only,"To update your PR, make your changes on your local repository, commit,
run tests, and only if they succeed push to your fork.",https://numpy.org/doc/stable/dev/index.html
only,"To update your PR, make your changes on your local repository, commit,
run tests, and only if they succeed push to your fork.",https://numpy.org/doc/stable/dev/index.html
must,"The CI tests must pass before your PR can be
merged.",https://numpy.org/doc/stable/dev/index.html
must,"The CI tests must pass before your PR can be
merged.",https://numpy.org/doc/stable/dev/index.html
must,A PR must be approved by at least one core team member before merging.,https://numpy.org/doc/stable/dev/index.html
must,A PR must be approved by at least one core team member before merging.,https://numpy.org/doc/stable/dev/index.html
note,"Document changes
Beyond changes to a functions docstring and possible description in the
general documentation, if your change introduces any user-facing
modifications they may need to be mentioned in the release notes.",https://numpy.org/doc/stable/dev/index.html
note,"To add your change to the release notes, you need to create a short file
with a summary and place it in doc/release/upcoming_changes.",https://numpy.org/doc/stable/dev/index.html
note,"Beyond changes to a functions docstring and possible description in the
general documentation, if your change introduces any user-facing
modifications they may need to be mentioned in the release notes.",https://numpy.org/doc/stable/dev/index.html
note,"To add your change to the release notes, you need to create a short file
with a summary and place it in doc/release/upcoming_changes.",https://numpy.org/doc/stable/dev/index.html
should,All code should have tests (see test coverage below for more details).,https://numpy.org/doc/stable/dev/index.html
should,All code should have tests (see test coverage below for more details).,https://numpy.org/doc/stable/dev/index.html
should,All code should be documented.,https://numpy.org/doc/stable/dev/index.html
should,All code should be documented.,https://numpy.org/doc/stable/dev/index.html
should,"Pull requests (PRs) that modify code should either have new tests, or modify existing
tests to fail before the PR and pass afterwards.",https://numpy.org/doc/stable/dev/index.html
should,You should run the tests before pushing a PR.,https://numpy.org/doc/stable/dev/index.html
should,"Tests for a module should ideally cover all code in that module,
i.",https://numpy.org/doc/stable/dev/index.html
should,", statement coverage should be at 100%.",https://numpy.org/doc/stable/dev/index.html
warning,Fixing Warnings#,https://numpy.org/doc/stable/dev/index.html
note,Release notes,https://numpy.org/doc/stable/release.html
note,Release notes#,https://numpy.org/doc/stable/release.html
note,"0
Deprecations
Expired deprecations
Compatibility notes
np.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
np.",https://numpy.org/doc/stable/release.html
note,"str0 and similar are now deprecated


Expired deprecations
Compatibility notes
array.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
array.",https://numpy.org/doc/stable/release.html
only,"loadtxt now supports quote character and single converter function
Changing to dtype of a different size now requires contiguity of only the last axis
Deterministic output files for F2PY
keepdims parameter for average
New parameter equal_nan added to np.",https://numpy.org/doc/stable/release.html
note,"unique


Compatibility notes
1D np.",https://numpy.org/doc/stable/release.html
only,"loadtxt now supports quote character and single converter function
Changing to dtype of a different size now requires contiguity of only the last axis
Deterministic output files for F2PY
keepdims parameter for average
New parameter equal_nan added to np.",https://numpy.org/doc/stable/release.html
only,Changing to dtype of a different size now requires contiguity of only the last axis,https://numpy.org/doc/stable/release.html
note,"Compatibility notes
1D np.",https://numpy.org/doc/stable/release.html
note,"MachAr class has been deprecated


Compatibility notes
Distutils forces strict floating point model on clang
Removed floor division support for complex types
numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Distutils forces strict floating point model on clang
Removed floor division support for complex types
numpy.",https://numpy.org/doc/stable/release.html
must,"dtype attribute must return a dtype
Inexact matches for numpy.",https://numpy.org/doc/stable/release.html
note,"ctypes methods have been deprecated


Expired deprecations
Remove deprecated PolyBase and unused PolyError and PolyDomainError


Compatibility notes
Error type changes in universal functions
__array_ufunc__ argument validation
__array_ufunc__ and additional positional arguments
Validate input values in Generator.",https://numpy.org/doc/stable/release.html
must,"dtype attribute must return a dtype
Inexact matches for numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Error type changes in universal functions
__array_ufunc__ argument validation
__array_ufunc__ and additional positional arguments
Validate input values in Generator.",https://numpy.org/doc/stable/release.html
note,"outer deprecated for matrix
Further Numeric Style types Deprecated
The ndincr method of ndindex is deprecated
ArrayLike objects which do not define __len__ and __getitem__


Future Changes
Arrays cannot be using subarray dtypes


Expired deprecations
Financial functions removed


Compatibility notes
isinstance(dtype, np.",https://numpy.org/doc/stable/release.html
only,"broadcast_arrays will export readonly buffers
Numeric-style type names have been removed from type dictionaries
The operator.",https://numpy.org/doc/stable/release.html
must,"consistently return correct outputs for non-default precision input
Boolean array indices with mismatching shapes now properly give IndexError
Casting errors interrupt Iteration
f2py generated code may return unicode instead of byte strings
The first element of the __array_interface__[""data""] tuple  must be an integer
poly1d respects the dtype of all-zero argument
The numpy.",https://numpy.org/doc/stable/release.html
only,i file for swig is Python 3 only.,https://numpy.org/doc/stable/release.html
note,"Compatibility notes
isinstance(dtype, np.",https://numpy.org/doc/stable/release.html
only,"broadcast_arrays will export readonly buffers
Numeric-style type names have been removed from type dictionaries
The operator.",https://numpy.org/doc/stable/release.html
must,"consistently return correct outputs for non-default precision input
Boolean array indices with mismatching shapes now properly give IndexError
Casting errors interrupt Iteration
f2py generated code may return unicode instead of byte strings
The first element of the __array_interface__[""data""] tuple  must be an integer
poly1d respects the dtype of all-zero argument
The numpy.",https://numpy.org/doc/stable/release.html
only,i file for swig is Python 3 only.,https://numpy.org/doc/stable/release.html
must,"The first element of the __array_interface__[""data""] tuple  must be an integer",https://numpy.org/doc/stable/release.html
only,i file for swig is Python 3 only.,https://numpy.org/doc/stable/release.html
note,"delete no longer casts boolean indices to integers


Compatibility notes
Changed random variate stream from numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Changed random variate stream from numpy.",https://numpy.org/doc/stable/release.html
note,"mask_row is deprecated


Expired deprecations
Compatibility notes
numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
numpy.",https://numpy.org/doc/stable/release.html
note,Compatibility notes,https://numpy.org/doc/stable/release.html
should,"nonzero should no longer be called on 0d arrays
Writing to the result of numpy.",https://numpy.org/doc/stable/release.html
note,"broadcast_arrays will warn


Future Changes
Shape-1 fields in dtypes won’t be collapsed to scalars in a future version


Compatibility notes
float16 subnormal rounding
Signed zero when using divmod
MaskedArray.",https://numpy.org/doc/stable/release.html
should,"nonzero should no longer be called on 0d arrays
Writing to the result of numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
float16 subnormal rounding
Signed zero when using divmod
MaskedArray.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Fix regression in matmul (@ operator) for boolean types",https://numpy.org/doc/stable/release.html
note,"4
New deprecations
Writeable flag of C-API wrapped arrays


Compatibility notes
Potential changes to the random stream


Changes
numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Potential changes to the random stream",https://numpy.org/doc/stable/release.html
note,"3
Compatibility notes
Unpickling while loading requires explicit opt-in


Improvements
Covariance in random.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Unpickling while loading requires explicit opt-in",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Signed zero when using divmod",https://numpy.org/doc/stable/release.html
note,"1
Contributors
Enhancements
Compatibility notes
New Features
divmod operation is now supported for two timedelta64 operands


Improvements
Further improvements to ctypes support in np.",https://numpy.org/doc/stable/release.html
note,Compatibility notes,https://numpy.org/doc/stable/release.html
note,"0
Highlights
New functions
New deprecations
Expired deprecations
Future changes
Compatibility notes
f2py script on Windows
NaT comparisons
complex64/128 alignment has changed
nd_grid __len__ removal
np.",https://numpy.org/doc/stable/release.html
note,"Polynomial classes render in LaTeX in Jupyter notebooks
randint and choice now work on empty distributions
linalg.",https://numpy.org/doc/stable/release.html
warning,"expand_dims now work on ndarray subclasses
NPY_NO_DEPRECATED_API compiler warning suppression
np.",https://numpy.org/doc/stable/release.html
only,"take for read-only arrays
Support path-like objects for more functions
Better behaviour of ufunc identities during reductions
Improved conversion from ctypes objects
A new ndpointer.",https://numpy.org/doc/stable/release.html
warning,"contents member
matmul is now a ufunc
Start and stop arrays for linspace, logspace and geomspace
CI extended with additional services


Changes
Comparison ufuncs will now error rather than return NotImplemented
Positive will now raise a deprecation warning for non-numerical arrays
NDArrayOperatorsMixin now implements matrix multiplication
The scaling of the covariance matrix in np.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
f2py script on Windows
NaT comparisons
complex64/128 alignment has changed
nd_grid __len__ removal
np.",https://numpy.org/doc/stable/release.html
note,"Polynomial classes render in LaTeX in Jupyter notebooks
randint and choice now work on empty distributions
linalg.",https://numpy.org/doc/stable/release.html
warning,"expand_dims now work on ndarray subclasses
NPY_NO_DEPRECATED_API compiler warning suppression
np.",https://numpy.org/doc/stable/release.html
only,"take for read-only arrays
Support path-like objects for more functions
Better behaviour of ufunc identities during reductions
Improved conversion from ctypes objects
A new ndpointer.",https://numpy.org/doc/stable/release.html
warning,NPY_NO_DEPRECATED_API compiler warning suppression,https://numpy.org/doc/stable/release.html
warning,"Changes
Comparison ufuncs will now error rather than return NotImplemented
Positive will now raise a deprecation warning for non-numerical arrays
NDArrayOperatorsMixin now implements matrix multiplication
The scaling of the covariance matrix in np.",https://numpy.org/doc/stable/release.html
warning,Positive will now raise a deprecation warning for non-numerical arrays,https://numpy.org/doc/stable/release.html
warning,maximum and minimum no longer emit warnings,https://numpy.org/doc/stable/release.html
only,Arrays based off readonly buffers cannot be set writeable,https://numpy.org/doc/stable/release.html
note,Compatibility Note,https://numpy.org/doc/stable/release.html
note,Compatibility Note,https://numpy.org/doc/stable/release.html
note,Compatibility Note,https://numpy.org/doc/stable/release.html
note,Compatibility Note,https://numpy.org/doc/stable/release.html
note,"0
Highlights
New functions
Deprecations
Future Changes
Compatibility notes
Compiled testing modules renamed and made private
The NpzFile returned by np.",https://numpy.org/doc/stable/release.html
must,"Mapping
Under certain conditions, nditer must be used in a context manager
Numpy has switched to using pytest instead of nose for testing
Numpy no longer monkey-patches ctypes with __array_interface__
np.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Compiled testing modules renamed and made private
The NpzFile returned by np.",https://numpy.org/doc/stable/release.html
must,"Mapping
Under certain conditions, nditer must be used in a context manager
Numpy has switched to using pytest instead of nose for testing
Numpy no longer monkey-patches ctypes with __array_interface__
np.",https://numpy.org/doc/stable/release.html
must,"Under certain conditions, nditer must be used in a context manager",https://numpy.org/doc/stable/release.html
note,"0
Highlights
New functions
Deprecations
Future Changes
Compatibility notes
The mask of a masked array view is also a view rather than a copy
np.",https://numpy.org/doc/stable/release.html
only,noncentral_f need only be positive.,https://numpy.org/doc/stable/release.html
note,"Compatibility notes
The mask of a masked array view is also a view rather than a copy
np.",https://numpy.org/doc/stable/release.html
only,noncentral_f need only be positive.,https://numpy.org/doc/stable/release.html
only,noncentral_f need only be positive.,https://numpy.org/doc/stable/release.html
note,"0
Highlights
New functions
Deprecations
Future Changes
Build System Changes
Compatibility notes
Error type changes
Tuple object dtypes
DeprecationWarning to error
FutureWarning to changed behavior
dtypes are now always true
__getslice__ and __setslice__ are no longer needed in ndarray subclasses
Indexing MaskedArrays/Constants with .",https://numpy.org/doc/stable/release.html
warning,"0
Highlights
New functions
Deprecations
Future Changes
Build System Changes
Compatibility notes
Error type changes
Tuple object dtypes
DeprecationWarning to error
FutureWarning to changed behavior
dtypes are now always true
__getslice__ and __setslice__ are no longer needed in ndarray subclasses
Indexing MaskedArrays/Constants with .",https://numpy.org/doc/stable/release.html
warning,"inf now
assert_array_ and masked arrays assert_equal hide less warnings
offset attribute value in memmap objects
np.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
Error type changes
Tuple object dtypes
DeprecationWarning to error
FutureWarning to changed behavior
dtypes are now always true
__getslice__ and __setslice__ are no longer needed in ndarray subclasses
Indexing MaskedArrays/Constants with .",https://numpy.org/doc/stable/release.html
warning,"Compatibility notes
Error type changes
Tuple object dtypes
DeprecationWarning to error
FutureWarning to changed behavior
dtypes are now always true
__getslice__ and __setslice__ are no longer needed in ndarray subclasses
Indexing MaskedArrays/Constants with .",https://numpy.org/doc/stable/release.html
warning,DeprecationWarning to error,https://numpy.org/doc/stable/release.html
warning,FutureWarning to changed behavior,https://numpy.org/doc/stable/release.html
warning,"inf now
assert_array_ and masked arrays assert_equal hide less warnings
offset attribute value in memmap objects
np.",https://numpy.org/doc/stable/release.html
warning,assert_array_ and masked arrays assert_equal hide less warnings,https://numpy.org/doc/stable/release.html
note,"0
Highlights
Dropped Support
Added Support
Build System Changes
Deprecations
Assignment of ndarray object’s data attribute
Unsafe int casting of the num attribute in linspace
Insufficient bit width parameter to binary_repr


Future Changes
Multiple-field manipulation of structured arrays


Compatibility notes
DeprecationWarning to error
FutureWarning to changed behavior
power and ** raise errors for integer to negative integer powers
Relaxed stride checking is the default
The np.",https://numpy.org/doc/stable/release.html
warning,"0
Highlights
Dropped Support
Added Support
Build System Changes
Deprecations
Assignment of ndarray object’s data attribute
Unsafe int casting of the num attribute in linspace
Insufficient bit width parameter to binary_repr


Future Changes
Multiple-field manipulation of structured arrays


Compatibility notes
DeprecationWarning to error
FutureWarning to changed behavior
power and ** raise errors for integer to negative integer powers
Relaxed stride checking is the default
The np.",https://numpy.org/doc/stable/release.html
warning,"median warns and returns nan when unmasked invalid values are encountered
Greater consistency in assert_almost_equal
NoseTester behaviour of warnings during testing
assert_warns and deprecated decorator more specific
C API


New Features
Writeable keyword argument for as_strided
axes keyword argument for rot90
Generalized flip
BLIS support in numpy.",https://numpy.org/doc/stable/release.html
warning,"interp can now interpolate complex values
New polynomial evaluation function polyvalfromroots added
New array creation function geomspace added
New context manager for testing warnings
New masked array functions ma.",https://numpy.org/doc/stable/release.html
warning,"vectorize
Emit py3kwarnings for division of integer arrays
numpy.",https://numpy.org/doc/stable/release.html
note,"Compatibility notes
DeprecationWarning to error
FutureWarning to changed behavior
power and ** raise errors for integer to negative integer powers
Relaxed stride checking is the default
The np.",https://numpy.org/doc/stable/release.html
warning,"Compatibility notes
DeprecationWarning to error
FutureWarning to changed behavior
power and ** raise errors for integer to negative integer powers
Relaxed stride checking is the default
The np.",https://numpy.org/doc/stable/release.html
warning,DeprecationWarning to error,https://numpy.org/doc/stable/release.html
