KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release notes,https://pandas.pydata.org/docs/
note,Release notes,https://pandas.pydata.org/docs/
note,Release notes,https://pandas.pydata.org/docs/getting_started/index.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/index.html
only,Data sets do not only contain numerical data.,https://pandas.pydata.org/docs/getting_started/index.html
note,Release notes,https://pandas.pydata.org/docs/user_guide/index.html
note,Release notes,https://pandas.pydata.org/docs/user_guide/index.html
should,Users brand-new to pandas should start with 10 minutes to pandas.,https://pandas.pydata.org/docs/user_guide/index.html
note,"The first block is a standard python input, while in the second the In [1]: indicates the input is inside a notebook.",https://pandas.pydata.org/docs/user_guide/index.html
note,In Jupyter Notebooks the last line is printed and plots are shown inline.,https://pandas.pydata.org/docs/user_guide/index.html
only,"Copy-on-Write (CoW)
Previous behavior
Migrating to Copy-on-Write
Description
Chained Assignment
Read-only NumPy arrays
Patterns to avoid
Copy-on-Write optimizations
How to enable CoW",https://pandas.pydata.org/docs/user_guide/index.html
only,Read-only NumPy arrays,https://pandas.pydata.org/docs/user_guide/index.html
note,Release notes,https://pandas.pydata.org/docs/reference/index.html
note,Release notes,https://pandas.pydata.org/docs/reference/index.html
warning,errors: Custom exception and warnings classes that are raised by pandas.,https://pandas.pydata.org/docs/reference/index.html
warning,errors: Custom exception and warnings classes that are raised by pandas.,https://pandas.pydata.org/docs/reference/index.html
should,"These are classes that are encountered as intermediate results but should not be instantiated
directly by users.",https://pandas.pydata.org/docs/reference/index.html
should,"These are classes that are encountered as intermediate results but should not be instantiated
directly by users.",https://pandas.pydata.org/docs/reference/index.html
warning,Warning,https://pandas.pydata.org/docs/reference/index.html
warning,"Testing
Assertion functions
Exceptions and warnings
Bug report function
Test suite runner",https://pandas.pydata.org/docs/reference/index.html
warning,Exceptions and warnings,https://pandas.pydata.org/docs/reference/index.html
note,Release notes,https://pandas.pydata.org/docs/development/index.html
note,Release notes,https://pandas.pydata.org/docs/development/index.html
note,Release notes,https://pandas.pydata.org/docs/whatsnew/index.html
note,Release notes,https://pandas.pydata.org/docs/whatsnew/index.html
note,Release notes,https://pandas.pydata.org/docs/whatsnew/index.html
note,Release notes#,https://pandas.pydata.org/docs/whatsnew/index.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/install.html
only,This will create a minimal environment with only Python and pandas installed.,https://pandas.pydata.org/docs/getting_started/install.html
note,Note,https://pandas.pydata.org/docs/getting_started/install.html
must,You must have pip>=19.,https://pandas.pydata.org/docs/getting_started/install.html
note,Note,https://pandas.pydata.org/docs/getting_started/install.html
note,Note that you might be required to uninstall an existing version of pandas to install the development version.,https://pandas.pydata.org/docs/getting_started/install.html
note,Note,https://pandas.pydata.org/docs/getting_started/install.html
only,pandas has many optional dependencies that are only used for specific methods.,https://pandas.pydata.org/docs/getting_started/install.html
note,Note,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
only,"Only lxml, although see HTML Table Parsing
for reasons as to why you should probably not take this approach.",https://pandas.pydata.org/docs/getting_started/install.html
should,"Only lxml, although see HTML Table Parsing
for reasons as to why you should probably not take this approach.",https://pandas.pydata.org/docs/getting_started/install.html
only,"Only lxml, although see HTML Table Parsing
for reasons as to why you should probably not take this approach.",https://pandas.pydata.org/docs/getting_started/install.html
should,"Only lxml, although see HTML Table Parsing
for reasons as to why you should probably not take this approach.",https://pandas.pydata.org/docs/getting_started/install.html
warning,Warning,https://pandas.pydata.org/docs/getting_started/install.html
must,"if you install BeautifulSoup4 you must install either
lxml or html5lib or both.",https://pandas.pydata.org/docs/getting_started/install.html
only,"read_html() will not work with only
BeautifulSoup4 installed.",https://pandas.pydata.org/docs/getting_started/install.html
must,"if you install BeautifulSoup4 you must install either
lxml or html5lib or both.",https://pandas.pydata.org/docs/getting_started/install.html
only,"read_html() will not work with only
BeautifulSoup4 installed.",https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
only,Compression for HDF5; only available on conda,https://pandas.pydata.org/docs/getting_started/install.html
warning,Warning,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Note,https://pandas.pydata.org/docs/getting_started/install.html
must,For clipboard to operate on Linux one of the CLI tools xclip or xsel must be installed on your system.,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Notes,https://pandas.pydata.org/docs/getting_started/install.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/overview.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/overview.html
note,Some other notes,https://pandas.pydata.org/docs/getting_started/overview.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/index.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/index.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/01_table_oriented.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/01_table_oriented.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/01_table_oriented.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/01_table_oriented.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/02_read_write.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/02_read_write.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/02_read_write.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/02_read_write.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
only,"A pandas Series is 1-dimensional and only
the number of rows is returned.",https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
only,"Only rows for which the value is True
will be selected.",https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
note,Note,https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
must,"When combining multiple conditional statements, each condition
must be surrounded by parentheses ().",https://pandas.pydata.org/docs/getting_started/intro_tutorials/03_subset_data.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/04_plotting.html
note,Release notes,https://pandas.pydata.org/docs/getting_started/intro_tutorials/04_plotting.html
note,"9             NaN



Note
The usage of the index_col and parse_dates parameters of the read_csv function to define the first (0th) column as
index of the resulting DataFrame and convert the dates in the column to Timestamp objects, respectively.",https://pandas.pydata.org/docs/getting_started/intro_tutorials/04_plotting.html
