KEYWORD,MATCHING SENTENCE,PAGE URL
note,"js), plotly enables Python users to create beautiful interactive web-based visualizations that can be displayed in Jupyter notebooks, saved to standalone HTML files, or served as part of pure Python-built web applications using Dash.",https://plotly.com/python/getting-started
note,exporting notebooks to PDF with high-quality vector images).,https://plotly.com/python/getting-started
note,"Note: No internet connection, account, or payment is required to use plotly.",https://plotly.com/python/getting-started
only,"py version 4 is ""offline"" only, and does not include any functionality for uploading figures or data to cloud services.",https://plotly.com/python/getting-started
note,Jupyter Notebook Support¶,https://plotly.com/python/getting-started
note,"For use in the classic Jupyter Notebook, install the notebook and ipywidgets
packages using pip:",https://plotly.com/python/getting-started
note,These packages contain everything you need to run a Jupyter notebook.,https://plotly.com/python/getting-started
note,and display plotly figures inline using the notebook renderer.,https://plotly.com/python/getting-started
note,"Note: This package is optional, and if it is not installed it is not possible for figures to be uploaded to the Chart Studio cloud service.",https://plotly.com/python/getting-started
note,Note also that if the layout.,https://plotly.com/python/reference/index/
only,"template
key is present (as it is by default) then default values will be drawn first from the contents
of the template and only if missing from there will the JavaScript layer infer further defaults.",https://plotly.com/python/reference/index/
note,Note: the recommended entry-point into the plotly package is the high-level plotly.,https://plotly.com/python/figure-structure/
note,Note also that if the layout.,https://plotly.com/python/figure-structure/
only,template key is present (as it is by default) then default values will be drawn first from the contents of the template and only if missing from there will the JavaScript layer infer further defaults.,https://plotly.com/python/figure-structure/
must,"The first of the three top-level attributes of a figure is data, whose value must be a list of dicts referred to as ""traces"".",https://plotly.com/python/figure-structure/
must,Each trace must have a type attribute which defines the other allowable attributes.,https://plotly.com/python/figure-structure/
must,"Each trace is drawn on a single subplot whose type must be compatible with the trace's type, or is its own subplot (see below).",https://plotly.com/python/figure-structure/
must,"The second of the three top-level attributes of a figure is layout, whose value is referred to in text as ""the layout"" and must be a dict, containing attributes that control positioning and configuration of non-data-related parts of the figure such as:",https://plotly.com/python/figure-structure/
must,"The third of the three top-level attributes of a figure is frames, whose value must be a list of dicts that define sequential frames in an animated plot.",https://plotly.com/python/figure-structure/
note,t) (note: layout.,https://plotly.com/python/figure-structure/
note,Note that the contents of the layout.,https://plotly.com/python/figure-structure/
only,The most commonly-used kind of subplot is a two-dimensional Cartesian subplot.,https://plotly.com/python/figure-structure/
must,Traces compatible with these subplots support xaxis and yaxis attributes whose values must refer to corresponding objects in the layout portion of the figure.,https://plotly.com/python/figure-structure/
note,Note that attributes such as layout.,https://plotly.com/python/figure-structure/
must,"The following trace types support attributes named scene, polar, smith or ternary, whose values must refer to corresponding objects in the layout portion of the figure i.",https://plotly.com/python/figure-structure/
note,Note that attributes such as layout.,https://plotly.com/python/figure-structure/
must,"The following trace types support attributes named geo or mapbox, whose values must refer to corresponding objects in the layout i.",https://plotly.com/python/figure-structure/
note,Note that attributes such as layout.,https://plotly.com/python/figure-structure/
must,These support a carpet attribute whose value must match the value of the carpet attribute of the carpet trace they are to be drawn on.,https://plotly.com/python/figure-structure/
not support,"Traces which are their own subplots (see above) do not support this, with the exception of traces of type pie and funnelarea for which every distinct color represented in the trace gets a separate legend item.",https://plotly.com/python/figure-structure/
must,"The fact that legend items are linked to traces means that when using discrete color, a figure must have one trace per color in order to get a meaningful legend.",https://plotly.com/python/figure-structure/
note,Note: the recommended entry-point into the plotly package is the high-level plotly.,https://plotly.com/python/creating-and-updating-figures/
note,Note that the recommended alternative to working with Python dictionaries is to create entire figures at once using Plotly Express and to manipulate the resulting plotly.,https://plotly.com/python/creating-and-updating-figures/
note,"Note: When you see keyword arguments with underscores passed to a graph object constructor or method, it is almost always safe to assume that it is an application of magic underscore notation.",https://plotly.com/python/creating-and-updating-figures/
note,Note that the following update_layout() operations are equivalent:,https://plotly.com/python/creating-and-updating-figures/
note,Note that both scatter and bar traces have a marker.,https://plotly.com/python/creating-and-updating-figures/
should,The update_traces() method supports a selector argument to control which traces should be updated.,https://plotly.com/python/creating-and-updating-figures/
only,Only traces with properties that match the selector will be updated.,https://plotly.com/python/creating-and-updating-figures/
only,Here is an example of using a selector to only update the color of the bar traces.,https://plotly.com/python/creating-and-updating-figures/
should,"For figures with subplots, the update_traces() method also supports row and col arguments to control which traces should be updated.",https://plotly.com/python/creating-and-updating-figures/
only,Only traces in the specified subplot row and column will be updated.,https://plotly.com/python/creating-and-updating-figures/
note,Note that setting instead marker_opacity with the magic underscore would not overwrite marker_color because properties would be overwritten starting only at the level of marker.,https://plotly.com/python/creating-and-updating-figures/
only,Note that setting instead marker_opacity with the magic underscore would not overwrite marker_color because properties would be overwritten starting only at the level of marker.,https://plotly.com/python/creating-and-updating-figures/
should,"Like update_traces(), for_each_trace() also accepts selector, row, and col arguments to control which traces should be considered.",https://plotly.com/python/creating-and-updating-figures/
only,"Here is an example of using for_each_trace() to convert the only markers for the ""setosa"" to square symbols in a Plotly Express Figure.",https://plotly.com/python/creating-and-updating-figures/
note,Note that this is possible because Plotly Express figures are made up of a separate trace for each column in the input data frame,https://plotly.com/python/creating-and-updating-figures/
note,Using the renderers framework in the context of a script or notebook (the main topic of this page),https://plotly.com/python/renderers/
must,"First, the last expression in a cell must evaluate to a figure.",https://plotly.com/python/renderers/
must,py must be running from within an IPython kernel.,https://plotly.com/python/renderers/
note,"These contexts include the classic Jupyter Notebook, JupyterLab, Visual Studio Code notebooks, Google Colaboratory, Kaggle notebooks, Azure notebooks, and the Python interactive shell.",https://plotly.com/python/renderers/
note,Note: The renderers framework is a generalization of the plotly.,https://plotly.com/python/renderers/
note,"Note: Default renderers persist for the duration of a single session, but they do not persist across sessions.",https://plotly.com/python/renderers/
note,notebook¶,https://plotly.com/python/renderers/
note,This renderer is intended for use in the classic Jupyter Notebook (not JupyterLab).,https://plotly.com/python/renderers/
note,"js JavaScript library bundle is added to the notebook the first time a figure is rendered, so this renderer will work without an Internet connection.",https://plotly.com/python/renderers/
note,"This renderer is a good choice for notebooks that will be exported to HTML files (Either using nbconvert or the ""Download as HTML"" menu action) because the exported HTML files will work without an Internet connection.",https://plotly.com/python/renderers/
note,Note: Adding the plotly.,https://plotly.com/python/renderers/
note,js bundle to the notebook adds a few megabytes to the notebook size.,https://plotly.com/python/renderers/
note,"If you can count on always having an Internet connection, you may want to consider using the notebook_connected renderer if notebook size is a constraint.",https://plotly.com/python/renderers/
note,notebook_connected¶,https://plotly.com/python/renderers/
note,"This renderer is the same as notebook renderer, except the plotly.",https://plotly.com/python/renderers/
note,"This saves a few megabytes in notebook size, but an Internet connection is required in order to display figures that are rendered this way.",https://plotly.com/python/renderers/
note,This renderer is a good choice for notebooks that will be shared with nbviewer since users must have an active Internet connection to access nbviewer in the first place.,https://plotly.com/python/renderers/
must,This renderer is a good choice for notebooks that will be shared with nbviewer since users must have an active Internet connection to access nbviewer in the first place.,https://plotly.com/python/renderers/
note,These are aliases for notebook_connected because this renderer is a good choice for use with Kaggle kernels and Azure Notebooks.,https://plotly.com/python/renderers/
note,"This renderer can only be used when the Python kernel is running locally on the same machine as the web browser, so it is not compatible with Jupyter Hub or online notebook services.",https://plotly.com/python/renderers/
