KEYWORD,MATCHING SENTENCE,PAGE URL
note,"For a brief introduction to the ideas behind the library, you can read the
introductory notes or the paper.",https://seaborn.pydata.org/
note,"If you’re working in a Jupyter notebook or an IPython terminal with
matplotlib mode
enabled, you should immediately see the plot.",https://seaborn.pydata.org/installing.html
should,"If you’re working in a Jupyter notebook or an IPython terminal with
matplotlib mode
enabled, you should immediately see the plot.",https://seaborn.pydata.org/installing.html
only,"While you can get pretty far with only seaborn imported, having access to
matplotlib functions is often useful.",https://seaborn.pydata.org/installing.html
should,"The seaborn codebase is pure Python, and the library should generally install
without issue.",https://seaborn.pydata.org/installing.html
only,"If you can only demonstrate the issue with your
actual dataset, you will need to share it, ideally as a csv.",https://seaborn.pydata.org/installing.html
only,"It can save time
if you try to reproduce the issue in an example that uses only matplotlib,
so that you can report it in the right place.",https://seaborn.pydata.org/installing.html
only,Keyword-only arguments,https://seaborn.pydata.org/whatsnew/index.html
note,Why is something printed after every notebook cell?,https://seaborn.pydata.org/faq.html
note,Why do the plots look fuzzy in a Jupyter notebook?,https://seaborn.pydata.org/faq.html
note,Why is something printed after every notebook cell?,https://seaborn.pydata.org/faq.html
note,Why do the plots look fuzzy in a Jupyter notebook?,https://seaborn.pydata.org/faq.html
only,Does seaborn only work with pandas?,https://seaborn.pydata.org/faq.html
only,Does seaborn only work with pandas?,https://seaborn.pydata.org/faq.html
only,This is a collection of answers to questions that are commonly raised about seaborn.,https://seaborn.pydata.org/faq.html
note,Use %pip install <package> in a Jupyter notebook to install it in the same place as the kernel,https://seaborn.pydata.org/faq.html
note,Use %pip install <package> in a Jupyter notebook to install it in the same place as the kernel,https://seaborn.pydata.org/faq.html
should,"12, scipy is an optional dependency, which should help to reduce the frequency of these issues.",https://seaborn.pydata.org/faq.html
note,"In a Jupyter notebook with the “inline” (default) or “widget” backends, matplotlib.",https://seaborn.pydata.org/faq.html
note,Why is something printed after every notebook cell?,https://seaborn.pydata.org/faq.html
note,"You’re using seaborn in a Jupyter notebook, and every cell prints something like <AxesSuplot:> or <seaborn.",https://seaborn.pydata.org/faq.html
note,"Jupyter notebooks will show the result of the final statement in the cell as part of its output, and each of seaborn’s plotting functions return a reference to the matplotlib or seaborn object that contain the plot.",https://seaborn.pydata.org/faq.html
note,"Add cell metadata tags, if you’re converting the notebook to a different representation",https://seaborn.pydata.org/faq.html
note,"Add cell metadata tags, if you’re converting the notebook to a different representation",https://seaborn.pydata.org/faq.html
note,Why do the plots look fuzzy in a Jupyter notebook?,https://seaborn.pydata.org/faq.html
