KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release notes,https://www.tornadoweb.org/en/stable/
only,"It is not based
on WSGI, and it is
typically run with only one thread per process.",https://www.tornadoweb.org/en/stable/
should,"wsgi module,
it is not a focus of development and most applications should be
written to use Tornado’s own interfaces (such as tornado.",https://www.tornadoweb.org/en/stable/
only,"The only method in
Tornado that is safe to call from other threads is
IOLoop.",https://www.tornadoweb.org/en/stable/
note,"run_in_executor to
asynchronously run a blocking function on another thread, but note
that the function passed to run_in_executor should avoid
referencing any Tornado objects.",https://www.tornadoweb.org/en/stable/
should,"run_in_executor to
asynchronously run a blocking function on another thread, but note
that the function passed to run_in_executor should avoid
referencing any Tornado objects.",https://www.tornadoweb.org/en/stable/
note,"Note that the source distribution
includes demo applications that are not present when Tornado is
installed in this way, so you may wish to download a copy of the
source tarball or clone the git repository as well.",https://www.tornadoweb.org/en/stable/
note,"Release notes
What’s new in Tornado 6.",https://www.tornadoweb.org/en/stable/
note,Release notes,https://www.tornadoweb.org/en/stable/guide.html
note,Release notes,https://www.tornadoweb.org/en/stable/webframework.html
note,"web — RequestHandler and Application classes
Thread-safety notes
Request handlers
RequestHandler
Entry points
RequestHandler.",https://www.tornadoweb.org/en/stable/webframework.html
should,"should_return_304()
StaticFileHandler.",https://www.tornadoweb.org/en/stable/webframework.html
note,Thread-safety notes,https://www.tornadoweb.org/en/stable/webframework.html
should,"should_return_304()
StaticFileHandler.",https://www.tornadoweb.org/en/stable/webframework.html
should,"should_return_304()
StaticFileHandler.",https://www.tornadoweb.org/en/stable/webframework.html
note,Release notes,https://www.tornadoweb.org/en/stable/networking.html
note,Release notes,https://www.tornadoweb.org/en/stable/coroutine.html
note,Release notes,https://www.tornadoweb.org/en/stable/integration.html
note,Release notes,https://www.tornadoweb.org/en/stable/utilities.html
note,Release notes,https://www.tornadoweb.org/en/stable/faq.html
must,"No matter what the real code is doing, to achieve concurrency blocking
code must be replaced with non-blocking equivalents.",https://www.tornadoweb.org/en/stable/faq.html
note,"Release notes
What’s new in Tornado 6.",https://www.tornadoweb.org/en/stable/releases.html
note,Release notes,https://www.tornadoweb.org/en/stable/releases.html
note,Release notes¶,https://www.tornadoweb.org/en/stable/releases.html
note,Release notes,https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
not support,"The reverse is not supported; the Tornado
Application and RequestHandler classes are designed for use with
the Tornado HTTPServer and cannot be used in a generic WSGI
container.",https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
warning,Warning,https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
only,"WSGI-only applications are likely to be better off
with a dedicated WSGI server such as gunicorn or uwsgi.",https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
must,This must be an instance of concurrent.,https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
not support,"Executor,
typically a ThreadPoolExecutor (ProcessPoolExecutor is not supported).",https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
warning,Warning,https://www.tornadoweb.org/en/stable/wsgi.html#module-tornado.wsgi
note,Release notes,https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,Thread-safety notes¶,https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
must,"In particular, methods such as
write(), finish(), and
flush() must only be called from the main thread.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,"In particular, methods such as
write(), finish(), and
flush() must only be called from the main thread.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
must,"Subclasses must define at least one of the methods defined in the
“Entry points” section below.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"Applications should not construct RequestHandler objects
directly and subclasses should not override __init__ (override
initialize instead).",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that this method does not apply to multi-valued headers
set by add_header.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that setting such headers in the normal flow of request
processing may not do what you want, since headers may be reset
during error handling.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that lists are not converted to JSON because of a potential
cross-site security vulnerability.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"All JSON output should be
wrapped in a dictionary.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that this exception may not be
the “current” exception for purposes of methods like
sys.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,This method only returns cookies that were present in the request.,https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,"0 this will be changed to only accept lowercase
arguments.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,"Due to
limitations of the cookie protocol, it is impossible to determine on the
server side which values are necessary for the domain, path,
samesite, or secure arguments, this method can only be
successful if you consistently use the same values for these arguments
when setting cookies.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"Applications
should generally use clear_cookie one at a time instead.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,"Similar to get_cookie, this method only returns cookies that
were present in the request.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
must,"You must specify the cookie_secret setting in your Application
to use this method.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"It should be a long, random sequence of bytes
to be used as the HMAC secret for the signature.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that the expires_days parameter sets the lifetime of the
cookie in the browser, but is independent of the max_age_days
parameter to get_signed_cookie.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"Returns True if the request’s Etag matches and a 304 should be
returned.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,"The Etag header should be set
(perhaps with set_etag_header) before calling this method.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,"get_current_user() will only be called once per request,
and is cached for future access:
def get_current_user(self):
    user_cookie = self.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
note,"Note that prepare() may be a coroutine while get_current_user()
may not, so the latter form is necessary if loading the user requires
asynchronous operations.",https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
only,This method is only supported when HTTP/1.,https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
should,This method should return a tornado.,https://www.tornadoweb.org/en/stable/web.html#module-tornado.web
